city,country,temperature,date
Madrid,ES,17.9,2023-03-25
Buenos Aires,AR,0.9,2022-02-22
New York,US,25.5,2023-06-21
Cape Town,ZA,28.2,2021-08-22
London,GB,2.6,2024-11-05
Los Angeles,US,19.4,2023-05-25
Mexico City,MX,9.9,2021-12-08
Mumbai,IN,37.5,2021-03-25
Moscow,RU,20.0,2024-04-05
Buenos Aires,AR,30.4,2021-04-18
Singapore,SG,30.8,2023-05-13
London,GB,9.7,2023-09-06
London,GB,10.0,2024-02-08
Buenos Aires,AR,7.4,2020-10-27
Paris,FR,10.4,2020-01-21
Tokyo,JP,16.3,2024-03-04
Rio de Janeiro,BR,36.6,2023-08-11
Dubai,AE,10.0,2023-10-08
Singapore,SG,17.5,2024-11-08
Cape Town,ZA,21.5,2020-04-11
Moscow,RU,-1.6,2021-09-14
Berlin,DE,5.3,2020-10-20
Toronto,CA,15.9,2021-05-15
Mexico City,MX,3.9,2023-09-21
New York,US,-4.9,2024-02-18
Paris,FR,10.4,2023-02-01
Toronto,CA,16.9,2021-06-24
Beijing,CN,22.1,2022-07-24
Mexico City,MX,3.3,2024-11-24
Beijing,CN,10.1,2024-11-26
Moscow,RU,13.9,2022-07-15
Buenos Aires,AR,22.7,2024-06-20
Toronto,CA,-2.7,2022-09-07
Dubai,AE,38.6,2020-08-06
Moscow,RU,16.1,2020-03-07
Beijing,CN,0.8,2024-09-10
Cape Town,ZA,33.6,2020-08-04
New York,US,7.1,2020-11-28
Mexico City,MX,12.1,2021-10-09
Berlin,DE,21.2,2024-05-27
Bangkok,TH,20.6,2023-10-06
New York,US,0.9,2023-12-01
Los Angeles,US,25.5,2022-05-10
Mexico City,MX,22.8,2024-08-25
Nairobi,KE,28.9,2024-03-04
Mexico City,MX,27.7,2023-07-09
Mexico City,MX,25.2,2024-07-27
London,GB,5.9,2021-12-15
London,GB,15.4,2023-08-17
Paris,FR,18.0,2020-04-13
Dubai,AE,36.9,2021-06-09
Los Angeles,US,27.7,2024-08-10
Moscow,RU,3.1,2020-08-18
Tokyo,JP,33.1,2023-08-23
Los Angeles,US,7.2,2022-12-13
Mexico City,MX,5.6,2022-09-04
Mumbai,IN,49.0,2022-05-10
Madrid,ES,11.3,2022-09-27
Mumbai,IN,38.5,2023-06-13
Moscow,RU,8.5,2021-06-24
Mexico City,MX,4.5,2020-10-10
Tokyo,JP,4.4,2022-12-17
Sydney,AU,23.3,2022-07-04
New York,US,18.7,2022-03-26
Tokyo,JP,7.0,2024-01-09
Mumbai,IN,22.7,2022-11-08
London,GB,14.3,2024-04-16
Cape Town,ZA,21.8,2021-07-04
Beijing,CN,-5.7,2020-10-15
Rio de Janeiro,BR,14.9,2020-11-04
Cape Town,ZA,22.8,2020-06-06
Tokyo,JP,29.4,2021-04-17
Madrid,ES,26.2,2024-04-09
London,GB,29.4,2024-07-19
New York,US,11.7,2021-07-25
Cape Town,ZA,6.9,2020-11-06
Sydney,AU,28.7,2020-05-09
London,GB,10.2,2024-09-26
Nairobi,KE,35.6,2023-07-23
Buenos Aires,AR,3.1,2020-11-18
Madrid,ES,-0.5,2021-12-25
Sydney,AU,30.8,2023-03-26
Buenos Aires,AR,19.3,2020-05-04
New York,US,16.5,2024-06-04
Beijing,CN,3.6,2020-09-17
Mumbai,IN,22.3,2024-11-08
Bangkok,TH,43.2,2024-05-28
Tokyo,JP,24.9,2024-07-03
Bangkok,TH,38.4,2020-03-04
Berlin,DE,19.3,2021-04-14
Rio de Janeiro,BR,13.7,2022-10-25
Cape Town,ZA,34.4,2023-06-03
Paris,FR,7.3,2023-11-01
Moscow,RU,-7.7,2021-10-17
Mumbai,IN,24.5,2023-12-14
Toronto,CA,-1.6,2020-11-28
Rio de Janeiro,BR,30.3,2024-07-01
Nairobi,KE,6.5,2020-10-12
Paris,FR,21.1,2024-05-16
Tokyo,JP,22.4,2020-04-27
Beijing,CN,25.1,2023-07-15
Tokyo,JP,12.1,2021-09-27
Dubai,AE,34.3,2021-04-23
